"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUTRY","55_64","PC_AGE","A","1989",20.447395,
"AUS","EDUTRY","55_64","PC_AGE","A","1991",19.529638,
"AUS","EDUTRY","55_64","PC_AGE","A","1993",13.459139,
"AUS","EDUTRY","55_64","PC_AGE","A","1994",14.730075,
"AUS","EDUTRY","55_64","PC_AGE","A","1995",17.189764,
"AUS","EDUTRY","55_64","PC_AGE","A","1997",17.064829,
"AUS","EDUTRY","55_64","PC_AGE","A","1998",16.993547,
"AUS","EDUTRY","55_64","PC_AGE","A","1999",17.52562,
"AUS","EDUTRY","55_64","PC_AGE","A","2000",19.078743,
"AUS","EDUTRY","55_64","PC_AGE","A","2001",21.109446,
"AUS","EDUTRY","55_64","PC_AGE","A","2002",22.466177,
"AUS","EDUTRY","55_64","PC_AGE","A","2003",23.289482,
"AUS","EDUTRY","55_64","PC_AGE","A","2004",22.983805,
"AUS","EDUTRY","55_64","PC_AGE","A","2005",23.848448,
"AUS","EDUTRY","55_64","PC_AGE","A","2006",26.262804,
"AUS","EDUTRY","55_64","PC_AGE","A","2007",26.55913,
"AUS","EDUTRY","55_64","PC_AGE","A","2008",28.661993,
"AUS","EDUTRY","55_64","PC_AGE","A","2009",29.295675,
"AUS","EDUTRY","55_64","PC_AGE","A","2010",29.629946,
"AUS","EDUTRY","55_64","PC_AGE","A","2011",30.254328,
"AUS","EDUTRY","55_64","PC_AGE","A","2012",33.030785,
"AUS","EDUTRY","55_64","PC_AGE","A","2013",30.122944,
"AUS","EDUTRY","55_64","PC_AGE","A","2014",33.478767,
"AUS","EDUTRY","55_64","PC_AGE","A","2015",33.931976,
"AUS","EDUTRY","55_64","PC_AGE","A","2016",34.965424,
"AUS","EDUTRY","55_64","PC_AGE","A","2017",33.846718,
"AUS","EDUTRY","55_64","PC_AGE","A","2018",34.811333,
"AUS","EDUTRY","55_64","PC_AGE","A","2019",34.93531,
"AUS","EDUTRY","55_64","PC_AGE","A","2020",36.33168,
"AUS","EDUTRY","55_64","PC_AGE","A","2021",37.090645,
"AUS","EDUTRY","55_64","PC_AGE","A","2022",38.752602,
"CAN","EDUTRY","55_64","PC_AGE","A","1981",13.204823,
"CAN","EDUTRY","55_64","PC_AGE","A","1990",15.607909,
"CAN","EDUTRY","55_64","PC_AGE","A","1991",16.659708,
"CAN","EDUTRY","55_64","PC_AGE","A","1992",16.715298,
"CAN","EDUTRY","55_64","PC_AGE","A","1993",18.317448,
"CAN","EDUTRY","55_64","PC_AGE","A","1994",21.13254,
"CAN","EDUTRY","55_64","PC_AGE","A","1995",21.541582,
"CAN","EDUTRY","55_64","PC_AGE","A","1996",23.206413,
"CAN","EDUTRY","55_64","PC_AGE","A","1997",24.390244,
"CAN","EDUTRY","55_64","PC_AGE","A","1998",25.806452,
"CAN","EDUTRY","55_64","PC_AGE","A","1999",27.506523,
"CAN","EDUTRY","55_64","PC_AGE","A","2000",28.338762,
"CAN","EDUTRY","55_64","PC_AGE","A","2001",30.277779,
"CAN","EDUTRY","55_64","PC_AGE","A","2002",32.148731,
"CAN","EDUTRY","55_64","PC_AGE","A","2003",33.708218,
"CAN","EDUTRY","55_64","PC_AGE","A","2004",34.538391,
"CAN","EDUTRY","55_64","PC_AGE","A","2005",36.376644,
"CAN","EDUTRY","55_64","PC_AGE","A","2006",37.5,
"CAN","EDUTRY","55_64","PC_AGE","A","2007",38.916908,
"CAN","EDUTRY","55_64","PC_AGE","A","2008",39.917908,
"CAN","EDUTRY","55_64","PC_AGE","A","2009",40.583294,
"CAN","EDUTRY","55_64","PC_AGE","A","2010",41.982368,
"CAN","EDUTRY","55_64","PC_AGE","A","2011",42.342342,
"CAN","EDUTRY","55_64","PC_AGE","A","2012",44.215996,
"CAN","EDUTRY","55_64","PC_AGE","A","2013",44.616062,
"CAN","EDUTRY","55_64","PC_AGE","A","2014",45.068905,
"CAN","EDUTRY","55_64","PC_AGE","A","2015",45.659027,
"CAN","EDUTRY","55_64","PC_AGE","A","2016",46.21072,
"CAN","EDUTRY","55_64","PC_AGE","A","2017",46.512562,
"CAN","EDUTRY","55_64","PC_AGE","A","2018",47.720543,
"CAN","EDUTRY","55_64","PC_AGE","A","2019",49.815067,
"CAN","EDUTRY","55_64","PC_AGE","A","2020",49.961525,
"CAN","EDUTRY","55_64","PC_AGE","A","2021",51.683662,
"CAN","EDUTRY","55_64","PC_AGE","A","2022",53.230175,
"CHE","EDUTRY","55_64","PC_AGE","A","1989",20.293449,
"CHE","EDUTRY","55_64","PC_AGE","A","1991",15.46312,
"CHE","EDUTRY","55_64","PC_AGE","A","1992",16.992916,
"CHE","EDUTRY","55_64","PC_AGE","A","1994",16.894798,
"CHE","EDUTRY","55_64","PC_AGE","A","1995",17.442436,
"CHE","EDUTRY","55_64","PC_AGE","A","1997",16.455894,
"CHE","EDUTRY","55_64","PC_AGE","A","1998",18.033012,
"CHE","EDUTRY","55_64","PC_AGE","A","1999",17.85434,
"CHE","EDUTRY","55_64","PC_AGE","A","2000",18.348803,
"CHE","EDUTRY","55_64","PC_AGE","A","2001",20.242687,
"CHE","EDUTRY","55_64","PC_AGE","A","2002",21.291384,
"CHE","EDUTRY","55_64","PC_AGE","A","2003",22.020067,
"CHE","EDUTRY","55_64","PC_AGE","A","2004",22.07539,
"CHE","EDUTRY","55_64","PC_AGE","A","2005",22.098343,
"CHE","EDUTRY","55_64","PC_AGE","A","2006",23.545841,
"CHE","EDUTRY","55_64","PC_AGE","A","2007",25.646887,
"CHE","EDUTRY","55_64","PC_AGE","A","2008",27.333345,
"CHE","EDUTRY","55_64","PC_AGE","A","2009",28.292376,
"CHE","EDUTRY","55_64","PC_AGE","A","2010",27.552511,
"CHE","EDUTRY","55_64","PC_AGE","A","2011",26.311302,
"CHE","EDUTRY","55_64","PC_AGE","A","2012",27.5916,
"CHE","EDUTRY","55_64","PC_AGE","A","2013",29.066446,
"CHE","EDUTRY","55_64","PC_AGE","A","2014",29.646446,
"CHE","EDUTRY","55_64","PC_AGE","A","2015",30.583302,
"CHE","EDUTRY","55_64","PC_AGE","A","2016",31.622665,
"CHE","EDUTRY","55_64","PC_AGE","A","2017",32.361843,
"CHE","EDUTRY","55_64","PC_AGE","A","2018",33.598095,
"CHE","EDUTRY","55_64","PC_AGE","A","2019",34.060177,
"CHE","EDUTRY","55_64","PC_AGE","A","2020",34.74041,
"CHE","EDUTRY","55_64","PC_AGE","A","2021",34.291077,
"CHE","EDUTRY","55_64","PC_AGE","A","2022",34.510441,
"USA","EDUTRY","55_64","PC_AGE","A","1981",12.12428,
"USA","EDUTRY","55_64","PC_AGE","A","1982",12.72871,
"USA","EDUTRY","55_64","PC_AGE","A","1983",13.718398,
"USA","EDUTRY","55_64","PC_AGE","A","1984",14.191588,
"USA","EDUTRY","55_64","PC_AGE","A","1985",14.454889,
"USA","EDUTRY","55_64","PC_AGE","A","1986",14.492421,
"USA","EDUTRY","55_64","PC_AGE","A","1987",14.963744,
"USA","EDUTRY","55_64","PC_AGE","A","1988",15.114811,
"USA","EDUTRY","55_64","PC_AGE","A","1989",16.346725,
"USA","EDUTRY","55_64","PC_AGE","A","1990",17.26125,
"USA","EDUTRY","55_64","PC_AGE","A","1991",17.050502,
"USA","EDUTRY","55_64","PC_AGE","A","1992",21.855442,
"USA","EDUTRY","55_64","PC_AGE","A","1993",23.050718,
"USA","EDUTRY","55_64","PC_AGE","A","1994",23.578884,
"USA","EDUTRY","55_64","PC_AGE","A","1995",24.272549,
"USA","EDUTRY","55_64","PC_AGE","A","1996",25.646872,
"USA","EDUTRY","55_64","PC_AGE","A","1997",26.194794,
"USA","EDUTRY","55_64","PC_AGE","A","1998",27.230566,
"USA","EDUTRY","55_64","PC_AGE","A","1999",27.990015,
"USA","EDUTRY","55_64","PC_AGE","A","2000",29.663137,
"USA","EDUTRY","55_64","PC_AGE","A","2001",30.964481,
"USA","EDUTRY","55_64","PC_AGE","A","2002",33.201225,
"USA","EDUTRY","55_64","PC_AGE","A","2003",34.744209,
"USA","EDUTRY","55_64","PC_AGE","A","2004",36.159424,
"USA","EDUTRY","55_64","PC_AGE","A","2005",36.94767,
"USA","EDUTRY","55_64","PC_AGE","A","2006",37.67268,
"USA","EDUTRY","55_64","PC_AGE","A","2007",38.538773,
"USA","EDUTRY","55_64","PC_AGE","A","2008",40.03989,
"USA","EDUTRY","55_64","PC_AGE","A","2009",40.841053,
"USA","EDUTRY","55_64","PC_AGE","A","2010",40.960876,
"USA","EDUTRY","55_64","PC_AGE","A","2011",41.185768,
"USA","EDUTRY","55_64","PC_AGE","A","2012",41.812187,
"USA","EDUTRY","55_64","PC_AGE","A","2013",41.813168,
"USA","EDUTRY","55_64","PC_AGE","A","2014",41.037685,
"USA","EDUTRY","55_64","PC_AGE","A","2015",41.438072,
"USA","EDUTRY","55_64","PC_AGE","A","2016",41.91584,
"USA","EDUTRY","55_64","PC_AGE","A","2017",42.03458,
