CC,Year,EPS
BEL,2000,1.5555556
BEL,2001,1.5555556
BEL,2002,1.6111112
BEL,2003,1.5555556
BEL,2004,2.4722223
BEL,2005,2.5833333
BEL,2006,2.6388888
BEL,2007,2.3055556
BEL,2008,2.6388888
BEL,2009,2.6666667
BEL,2010,2.5555556
BEL,2011,2.9444444
BEL,2012,3.0555556
BEL,2013,2.9444444
BEL,2014,2.9444444
BEL,2015,2.8333333
BEL,2016,2.8888888
BEL,2017,2.9444444
BEL,2018,3.0
BEL,2019,3.2222223
BEL,2020,3.4444444
GBR,2000,1.3333334
GBR,2001,1.3333334
GBR,2002,1.3333334
GBR,2003,2.1388888
GBR,2004,2.1388888
GBR,2005,2.3055556
GBR,2006,2.4166667
GBR,2007,2.25
GBR,2008,2.4722223
GBR,2009,2.6666667
GBR,2010,3.3611112
GBR,2011,3.3333333
GBR,2012,2.8888888
GBR,2013,3.2222223
GBR,2014,3.75
GBR,2015,3.8611112
GBR,2016,3.3611112
GBR,2017,3.4722223
GBR,2018,3.5277777
GBR,2019,3.5277777
GBR,2020,3.6111112
FRA,2000,1.75
FRA,2001,1.6666666
FRA,2002,2.0
FRA,2003,2.0833333
FRA,2004,2.8333333
FRA,2005,2.8611112
FRA,2006,3.0833333
FRA,2007,3.25
FRA,2008,3.4166667
FRA,2009,3.6944444
FRA,2010,3.6111112
FRA,2011,3.9444444
FRA,2012,3.9166667
FRA,2013,3.9166667
FRA,2014,4.2222223
FRA,2015,4.0277777
FRA,2016,3.9166667
FRA,2017,4.1666665
FRA,2018,4.5555553
FRA,2019,4.7222223
FRA,2020,4.8888888
POL,2000,1.1388888
POL,2001,1.2777778
POL,2002,1.2777778
POL,2003,1.2777778
POL,2004,1.3333334
POL,2005,2.0833333
POL,2006,2.3611112
POL,2007,2.25
POL,2008,2.5833333
POL,2009,2.7777777
POL,2010,2.9444444
POL,2011,3.0
POL,2012,2.7222223
POL,2013,2.8888888
POL,2014,2.9444444
POL,2015,2.9444444
POL,2016,2.8333333
POL,2017,2.8888888
POL,2018,3.0555556
POL,2019,3.4166667
POL,2020,3.4722223
CHE,2000,2.25
CHE,2001,2.25
CHE,2002,2.25
CHE,2003,2.25
CHE,2004,2.25
CHE,2005,2.2777777
CHE,2006,2.2777777
CHE,2007,2.5277777
CHE,2008,3.1666667
CHE,2009,3.3611112
CHE,2010,3.3333333
CHE,2011,3.5555556
CHE,2012,3.6388888
CHE,2013,3.6388888
CHE,2014,4.0555553
CHE,2015,4.0277777
CHE,2016,4.1388888
CHE,2017,4.1388888
CHE,2018,4.4166665
CHE,2019,4.2222223
CHE,2020,4.5
GRC,2000,1.3888888
GRC,2001,1.3888888
GRC,2002,1.3888888
GRC,2003,1.4722222
GRC,2004,1.4166666
GRC,2005,1.7777778
GRC,2006,1.8888888
GRC,2007,1.9722222
GRC,2008,2.25
GRC,2009,2.4444444
GRC,2010,2.6111112
GRC,2011,2.75
GRC,2012,2.6388888
GRC,2013,2.5833333
GRC,2014,2.8888888
GRC,2015,3.0555556
GRC,2016,2.8888888
GRC,2017,2.8611112
GRC,2018,2.8611112
GRC,2019,2.8333333
GRC,2020,2.8888888
SWE,2000,2.1666667
SWE,2001,2.3888888
SWE,2002,3.0555556
SWE,2003,3.0833333
SWE,2004,3.1388888
SWE,2005,3.0833333
SWE,2006,3.25
SWE,2007,3.0833333
SWE,2008,3.4166667
SWE,2009,3.6111112
SWE,2010,3.6111112
SWE,2011,3.5
SWE,2012,3.3888888
SWE,2013,3.4444444
SWE,2014,3.5555556
SWE,2015,3.6111112
SWE,2016,3.6666667
SWE,2017,3.6111112
SWE,2018,3.6666667
SWE,2019,3.6111112
SWE,2020,3.8333333
ITA,2000,1.7777778
ITA,2001,1.7777778
ITA,2002,1.9166666
ITA,2003,1.9166666
ITA,2004,1.9722222
ITA,2005,2.2222223
ITA,2006,3.1388888
ITA,2007,2.9722223
ITA,2008,3.0833333
ITA,2009,3.2777777
ITA,2010,3.4722223
ITA,2011,3.5
ITA,2012,3.5833333
ITA,2013,3.6666667
ITA,2014,4.0
ITA,2015,4.0555553
ITA,2016,4.0555553
ITA,2017,4.0555553
ITA,2018,3.7777777
ITA,2019,3.75
ITA,2020,3.7222223
NLD,2000,1.5555556
NLD,2001,1.7222222
NLD,2002,1.611111
NLD,2003,1.7777778
NLD,2004,1.8055556
NLD,2005,2.75
NLD,2006,2.7777777
NLD,2007,2.7777777
NLD,2008,3.2222223
NLD,2009,3.5555556
NLD,2010,3.75
NLD,2011,3.1666667
NLD,2012,3.1388888
NLD,2013,3.0555556
NLD,2014,3.1111112
NLD,2015,3.1944444
NLD,2016,3.3333333
NLD,2017,3.1111112
NLD,2018,3.5
NLD,2019,3.4722223
NLD,2020,3.4722223
CZE,2000,1.4166666
CZE,2001,1.4166666
CZE,2002,2.1666667
CZE,2003,2.4166667
CZE,2004,2.4166667
CZE,2005,2.4166667
CZE,2006,2.7222223
CZE,2007,2.6388888
CZE,2008,3.0833333
CZE,2009,3.1944444
CZE,2010,3.1111112
CZE,2011,3.1111112
CZE,2012,3.25
CZE,2013,3.0
CZE,2014,2.5
CZE,2015,2.5555556
CZE,2016,2.7222223
CZE,2017,2.7222223
CZE,2018,2.8888888
CZE,2019,3.1111112
CZE,2020,2.9444444
FIN,2000,2.0833333
FIN,2001,2.0833333
FIN,2002,2.5833333
FIN,2003,2.4166667
FIN,2004,2.6388888
FIN,2005,2.75
FIN,2006,2.9722223
FIN,2007,2.9722223
FIN,2008,3.1944444
FIN,2009,3.1666667
FIN,2010,3.1111112
