CC,Year,WIP
AUT,2000,26.775957
AUT,2001,26.775957
AUT,2003,33.87978
AUT,2004,33.87978
AUT,2005,33.87978
AUT,2006,32.240437
AUT,2007,32.786884
AUT,2008,27.322405
AUT,2009,27.868853
AUT,2010,27.868853
AUT,2011,27.868853
AUT,2012,27.868853
AUT,2013,33.333332
AUT,2014,32.240437
AUT,2015,30.601093
AUT,2016,30.601093
AUT,2017,34.42623
AUT,2018,34.42623
AUT,2019,39.34426
AUT,2020,39.34426
BEL,2000,23.333334
BEL,2001,23.333334
BEL,2002,23.333334
BEL,2003,35.333332
BEL,2004,34.666668
BEL,2005,34.666668
BEL,2006,34.666668
BEL,2007,35.333332
BEL,2008,35.333332
BEL,2009,38.0
BEL,2010,39.333332
BEL,2011,38.0
BEL,2012,38.0
BEL,2013,38.0
BEL,2014,39.333332
BEL,2015,39.333332
BEL,2016,39.333332
BEL,2017,38.0
BEL,2018,38.0
BEL,2019,42.0
BEL,2020,41.333332
CHE,2000,23.0
CHE,2001,23.0
CHE,2002,23.0
CHE,2003,25.0
CHE,2004,25.0
CHE,2005,25.0
CHE,2006,25.0
CHE,2007,28.5
CHE,2008,28.5
CHE,2009,29.0
CHE,2010,29.0
CHE,2011,28.5
CHE,2012,29.0
CHE,2013,31.0
CHE,2014,31.0
CHE,2015,32.0
CHE,2016,32.0
CHE,2017,32.5
CHE,2018,32.5
CHE,2019,41.5
CHE,2020,41.5
CZE,2000,15.0
CZE,2001,15.0
CZE,2002,17.0
CZE,2003,17.0
CZE,2004,17.0
CZE,2005,17.0
CZE,2006,15.5
CZE,2007,15.5
CZE,2008,15.5
CZE,2009,15.5
CZE,2010,22.0
CZE,2011,22.0
CZE,2012,22.0
CZE,2013,19.5
CZE,2014,19.5
CZE,2015,20.0
CZE,2016,20.0
CZE,2017,22.0
CZE,2018,22.0
CZE,2019,22.5
CZE,2020,22.5
DEU,2000,30.941704
DEU,2001,31.081081
DEU,2002,32.17247
DEU,2003,32.17247
DEU,2004,32.75
DEU,2005,31.758957
DEU,2006,31.59609
DEU,2007,31.647635
DEU,2008,32.18954
DEU,2009,32.79743
DEU,2010,32.79743
DEU,2011,32.903225
DEU,2012,32.903225
DEU,2013,36.45008
DEU,2014,36.45008
DEU,2015,36.45008
DEU,2016,36.45008
DEU,2017,30.747532
DEU,2018,30.747532
DEU,2019,30.888575
DEU,2020,31.170664
DNK,2000,37.43017
DNK,2002,37.988827
DNK,2003,37.988827
DNK,2004,37.988827
DNK,2005,36.87151
DNK,2006,36.87151
DNK,2007,37.988827
DNK,2008,37.988827
DNK,2009,37.988827
DNK,2010,37.988827
DNK,2011,39.106144
DNK,2012,39.106144
DNK,2013,39.106144
DNK,2014,39.106144
DNK,2015,37.43017
DNK,2016,37.43017
DNK,2017,37.43017
DNK,2018,37.43017
DNK,2019,39.106144
DNK,2020,39.664806
ESP,2000,28.285715
ESP,2001,28.285715
ESP,2002,28.285715
ESP,2003,28.285715
ESP,2004,36.0
ESP,2005,36.0
ESP,2006,36.0
ESP,2007,36.57143
ESP,2008,36.285713
ESP,2009,36.57143
ESP,2010,36.57143
ESP,2011,36.0
ESP,2012,36.0
ESP,2013,36.0
ESP,2014,39.714287
ESP,2015,41.142857
ESP,2016,39.142857
ESP,2017,39.142857
ESP,2018,39.142857
ESP,2019,44.0
ESP,2020,44.0
FIN,2000,36.5
FIN,2001,36.5
FIN,2002,36.5
FIN,2003,37.5
FIN,2004,37.5
FIN,2005,37.5
FIN,2006,38.0
FIN,2007,41.5
FIN,2008,41.5
FIN,2009,40.0
FIN,2010,40.0
FIN,2011,42.5
FIN,2012,42.5
FIN,2013,42.5
FIN,2014,42.5
FIN,2015,41.5
FIN,2016,41.5
FIN,2017,42.0
FIN,2018,42.0
FIN,2019,47.0
FIN,2020,46.0
FRA,2000,10.918544
FRA,2001,10.918544
FRA,2002,12.131716
FRA,2003,12.195122
FRA,2004,12.195122
FRA,2005,12.195122
FRA,2006,12.195122
FRA,2007,18.197573
FRA,2008,18.197573
FRA,2009,18.890814
FRA,2010,18.890814
FRA,2011,18.890814
FRA,2012,26.863085
FRA,2013,26.863085
FRA,2014,26.169844
FRA,2015,26.169844
FRA,2016,26.169844
FRA,2017,38.9948
FRA,2018,39.583332
FRA,2019,39.68804
FRA,2020,39.514732
GBR,2000,18.361153
GBR,2001,17.905918
GBR,2002,17.905918
GBR,2003,17.905918
GBR,2004,18.057663
GBR,2005,19.659443
GBR,2006,19.659443
GBR,2007,19.504644
GBR,2008,19.504644
GBR,2009,19.504644
GBR,2010,22.0
GBR,2011,22.307692
GBR,2012,22.461538
GBR,2013,22.461538
GBR,2014,22.615385
GBR,2015,29.384615
GBR,2016,29.583975
GBR,2017,32.0
GBR,2018,32.153847
GBR,2019,32.0
GBR,2020,33.846153
GRC,2000,8.666667
GRC,2001,8.666667
GRC,2002,8.666667
GRC,2003,8.666667
GRC,2004,14.0
GRC,2005,13.0
GRC,2006,13.0
GRC,2007,14.666667
GRC,2008,14.666667
GRC,2009,17.333334
GRC,2010,17.333334
GRC,2011,18.666666
GRC,2012,21.0
GRC,2013,21.0
GRC,2014,21.0
GRC,2015,19.666666
GRC,2016,19.666666
GRC,2017,18.333334
GRC,2018,18.666666
GRC,2019,20.666666
GRC,2020,21.666666
HUN,2000,8.290155
HUN,2001,8.290155
HUN,2002,9.067357
HUN,2003,9.84456
HUN,2004,9.090909
HUN,2005,9.090909
HUN,2006,10.362695
HUN,2007,11.139896
HUN,2008,11.139896
HUN,2009,11.139896
HUN,2010,9.067357
HUN,2011,8.8082905
HUN,2012,8.8082905
HUN,2013,8.8082905
HUN,2014,10.050251
HUN,2015,10.10101
HUN,2016,10.10101
HUN,2017,10.050251
HUN,2018,12.562814
HUN,2019,12.562814
HUN,2020,12.060302
IRL,2000,12.048193
IRL,2001,12.048193
IRL,2002,13.253012
IRL,2003,13.253012
IRL,2004,13.253012
IRL,2005,13.253012
IRL,2006,13.253012
IRL,2007,13.253012
IRL,2008,13.253012
IRL,2009,13.939394
IRL,2010,13.939394
IRL,2011,15.060241
IRL,2012,15.060241
IRL,2013,15.662651
IRL,2014,15.662651
IRL,2015,16.26506
IRL,2016,22.1519
IRL,2017,22.1519
IRL,2018,22.1519
IRL,2019,22.1519
IRL,2020,22.5
ITA,2000,11.111111
ITA,2001,9.8412695
ITA,2002,9.8412695
ITA,2003,11.488673
ITA,2004,11.525974
ITA,2005,11.525974
ITA,2006,17.301588
ITA,2007,17.301588
ITA,2008,21.269842
ITA,2009,21.269842
ITA,2010,21.269842
ITA,2011,21.587301
ITA,2012,21.428572
ITA,2013,31.428572
ITA,2014,31.428572
ITA,2015,30.952381
ITA,2016,30.952381
ITA,2017,30.952381
ITA,2018,35.714287
ITA,2019,35.714287
ITA,2020,35.714287
NLD,2000,36.0
NLD,2001,36.0
NLD,2002,34.0
NLD,2003,36.666668
NLD,2004,36.666668
NLD,2005,36.666668
NLD,2006,36.666668
NLD,2007,39.333332
NLD,2008,41.333332
NLD,2009,42.0
NLD,2010,40.666668
NLD,2011,40.666668
NLD,2012,38.666668
NLD,2013,38.666668
NLD,2014,38.666668
NLD,2015,37.333332
NLD,2016,37.333332
NLD,2017,36.0
NLD,2018,36.0
NLD,2019,31.333334
NLD,2020,33.333332
NOR,2000,36.363636
NOR,2001,35.757576
NOR,2002,36.363636
NOR,2003,36.363636
NOR,2004,38.18182
NOR,2005,37.869823
NOR,2006,37.869823
NOR,2007,36.094673
NOR,2008,36.094673
NOR,2009,39.64497
NOR,2010,39.64497
NOR,2011,39.64497
NOR,2012,39.64497
NOR,2013,39.64497
NOR,2014,39.64497
NOR,2015,39.64497
NOR,2016,39.64497
NOR,2017,41.42012
NOR,2018,41.42012
NOR,2019,40.828403
NOR,2020,41.42012
POL,2000,13.043478
POL,2001,20.217392
POL,2002,20.217392
POL,2003,20.217392
POL,2004,20.217392
POL,2005,20.434782
POL,2006,20.434782
POL,2007,20.434782
POL,2008,20.217392
POL,2009,20.0
POL,2010,20.0
POL,2011,23.695652
POL,2012,23.695652
POL,2013,23.695652
POL,2014,24.347826
POL,2015,27.391304
POL,2016,27.391304
POL,2017,28.043478
POL,2018,28.043478
POL,2019,28.695652
POL,2020,28.695652
PRT,2000,17.391304
PRT,2001,18.695652
PRT,2002,19.130434
PRT,2003,19.130434
PRT,2004,19.130434
PRT,2005,21.304348
PRT,2006,21.304348
PRT,2007,28.26087
PRT,2008,28.26087
PRT,2009,27.391304
PRT,2010,27.391304
PRT,2011,28.695652
PRT,2012,28.695652
PRT,2013,31.304348
PRT,2014,31.304348
PRT,2015,34.782608
PRT,2016,34.782608
PRT,2017,34.782608
PRT,2018,34.782608
PRT,2019,38.695652
PRT,2020,40.0
RUS,2000,7.7097507
RUS,2001,7.572383
RUS,2002,7.572383
RUS,2003,7.572383
RUS,2004,9.8434
RUS,2005,9.8434
RUS,2006,9.8434
RUS,2007,14.0
RUS,2008,14.0
RUS,2009,14.0
RUS,2010,14.0
RUS,2011,13.555555
RUS,2012,13.555555
RUS,2013,13.555555
RUS,2014,13.555555
RUS,2015,13.555555
RUS,2016,12.666667
RUS,2017,15.777778
RUS,2018,15.777778
RUS,2019,15.777778
RUS,2020,15.777778
SVK,2000,14.0
SVK,2001,14.0
SVK,2002,17.333334
SVK,2003,19.333334
SVK,2004,16.666666
SVK,2005,16.666666
SVK,2006,20.0
SVK,2007,19.333334
SVK,2008,19.333334
SVK,2009,18.0
SVK,2010,15.333333
SVK,2011,16.0
