CC,Year,Block
AUT,2000,0
AUT,2001,0
AUT,2002,0
AUT,2003,0
AUT,2004,0
AUT,2005,0
AUT,2006,0
AUT,2007,0
AUT,2008,0
AUT,2009,0
AUT,2010,0
AUT,2011,0
AUT,2012,0
AUT,2013,0
AUT,2014,0
AUT,2015,0
AUT,2016,0
AUT,2017,0
AUT,2018,0
AUT,2019,0
AUT,2020,0
BEL,2000,0
BEL,2001,0
BEL,2002,0
BEL,2003,0
BEL,2004,0
BEL,2005,0
BEL,2006,0
BEL,2007,0
BEL,2008,0
BEL,2009,0
BEL,2010,0
BEL,2011,0
BEL,2012,0
BEL,2013,0
BEL,2014,0
BEL,2015,0
BEL,2016,0
BEL,2017,0
BEL,2018,0
BEL,2019,0
BEL,2020,0
CHE,2000,0
CHE,2001,0
CHE,2002,0
CHE,2003,0
CHE,2004,0
CHE,2005,0
CHE,2006,0
CHE,2007,0
CHE,2008,0
CHE,2009,0
CHE,2010,0
CHE,2011,0
CHE,2012,0
CHE,2013,0
CHE,2014,0
CHE,2015,0
CHE,2016,0
CHE,2017,0
CHE,2018,0
CHE,2019,0
CHE,2020,0
CZE,2000,1
CZE,2001,1
CZE,2002,1
CZE,2003,1
CZE,2004,1
CZE,2005,1
CZE,2006,1
CZE,2007,1
CZE,2008,1
CZE,2009,1
CZE,2010,1
CZE,2011,1
CZE,2012,1
CZE,2013,1
CZE,2014,1
CZE,2015,1
CZE,2016,1
CZE,2017,1
CZE,2018,1
CZE,2019,1
CZE,2020,1
DEU,2000,0
DEU,2001,0
DEU,2002,0
DEU,2003,0
DEU,2004,0
DEU,2005,0
DEU,2006,0
DEU,2007,0
DEU,2008,0
DEU,2009,0
DEU,2010,0
DEU,2011,0
DEU,2012,0
DEU,2013,0
DEU,2014,0
DEU,2015,0
DEU,2016,0
DEU,2017,0
DEU,2018,0
DEU,2019,0
DEU,2020,0
DNK,2000,0
DNK,2001,0
DNK,2002,0
DNK,2003,0
DNK,2004,0
DNK,2005,0
DNK,2006,0
DNK,2007,0
DNK,2008,0
DNK,2009,0
DNK,2010,0
DNK,2011,0
DNK,2012,0
DNK,2013,0
DNK,2014,0
DNK,2015,0
DNK,2016,0
DNK,2017,0
DNK,2018,0
DNK,2019,0
DNK,2020,0
ESP,2000,0
ESP,2001,0
ESP,2002,0
ESP,2003,0
ESP,2004,0
ESP,2005,0
ESP,2006,0
ESP,2007,0
ESP,2008,0
ESP,2009,0
ESP,2010,0
ESP,2011,0
ESP,2012,0
ESP,2013,0
ESP,2014,0
ESP,2015,0
ESP,2016,0
ESP,2017,0
ESP,2018,0
ESP,2019,0
ESP,2020,0
FIN,2000,0
FIN,2001,0
FIN,2002,0
FIN,2003,0
FIN,2004,0
FIN,2005,0
FIN,2006,0
FIN,2007,0
FIN,2008,0
FIN,2009,0
FIN,2010,0
FIN,2011,0
FIN,2012,0
FIN,2013,0
FIN,2014,0
FIN,2015,0
FIN,2016,0
FIN,2017,0
FIN,2018,0
FIN,2019,0
FIN,2020,0
FRA,2000,0
FRA,2001,0
FRA,2002,0
FRA,2003,0
FRA,2004,0
FRA,2005,0
FRA,2006,0
FRA,2007,0
FRA,2008,0
FRA,2009,0
FRA,2010,0
FRA,2011,0
FRA,2012,0
FRA,2013,0
FRA,2014,0
FRA,2015,0
FRA,2016,0
FRA,2017,0
FRA,2018,0
FRA,2019,0
FRA,2020,0
GBR,2000,0
GBR,2001,0
GBR,2002,0
GBR,2003,0
GBR,2004,0
GBR,2005,0
GBR,2006,0
GBR,2007,0
GBR,2008,0
GBR,2009,0
GBR,2010,0
GBR,2011,0
GBR,2012,0
GBR,2013,0
GBR,2014,0
GBR,2015,0
GBR,2016,0
GBR,2017,0
GBR,2018,0
GBR,2019,0
GBR,2020,0
GRC,2000,0
GRC,2001,0
GRC,2002,0
GRC,2003,0
GRC,2004,0
GRC,2005,0
GRC,2006,0
GRC,2007,0
GRC,2008,0
GRC,2009,0
GRC,2010,0
GRC,2011,0
GRC,2012,0
GRC,2013,0
GRC,2014,0
GRC,2015,0
GRC,2016,0
GRC,2017,0
GRC,2018,0
GRC,2019,0
GRC,2020,0
HUN,2000,1
HUN,2001,1
HUN,2002,1
HUN,2003,1
HUN,2004,1
HUN,2005,1
HUN,2006,1
HUN,2007,1
HUN,2008,1
HUN,2009,1
HUN,2010,1
HUN,2011,1
