CC,Year,EPS,Share WIP,Block,GDPpc,Education
AUT,1990,1.3888888,19.672131147540984,1.0,19473.072125,
AUT,1991,1.3888888,19.672131147540984,1.0,20617.579156,
AUT,1992,1.3888888,19.672131147540984,1.0,21293.2684,
AUT,1993,1.3888888,19.672131147540984,1.0,21732.871184,
AUT,1994,1.3888888,21.85792349726776,1.0,22642.841565,
AUT,1995,1.611111,26.775956284153008,1.0,23698.10309,
AUT,1996,1.611111,26.775956284153008,1.0,24560.615338,
AUT,1997,1.611111,26.229507,1.0,25426.661912,
AUT,1998,1.611111,26.229507,1.0,26675.649686,
AUT,1999,1.611111,26.775957,1.0,27606.484243,
AUT,2000,1.8888888,26.775957,1.0,29381.672832,
AUT,2001,1.8888888,26.775957,1.0,29708.48945,
AUT,2002,1.8888888,33.87978,1.0,31178.051444,
AUT,2003,2.1944444,33.87978,1.0,32158.459529,
AUT,2004,2.1944444,33.87978,1.0,33784.446804,30.473413
AUT,2005,2.3055556,33.87978,1.0,35024.557484,30.570971
AUT,2006,2.5277777,32.240437,1.0,37662.888035,31.518833
AUT,2007,2.25,32.786884,1.0,39437.038795,31.065872
AUT,2008,2.6666667,27.322405,1.0,41316.022642,32.680725
AUT,2009,2.9444444,27.868853,1.0,40927.556365,33.408676
AUT,2010,3.0833333,27.868853,1.0,42019.005887,33.863789
AUT,2011,3.0555556,27.868853,1.0,44469.209642,34.808361
AUT,2012,2.9444444,27.868853,1.0,46477.655075,36.127834
AUT,2013,3.2777777,33.333332,1.0,47936.677963,38.666092
AUT,2014,3.1111112,32.240437,1.0,48813.534409,38.403149
AUT,2015,2.9444444,30.601093,1.0,49942.056293,38.626846
AUT,2016,2.9444444,30.601093,1.0,52665.087457,39.671021
AUT,2017,2.9444444,34.42623,1.0,54188.360666,40.324657
AUT,2018,3.0833333,34.42623,1.0,56956.110562,40.458271
AUT,2019,3.1388888,39.34426,1.0,59716.251399,41.610401
AUT,2020,3.3055556,39.34426,1.0,57235.673886,41.419125
BEL,1990,0.8888889,8.49056603773585,0.0,18687.845232,
BEL,1991,0.8888889,9.433962264150944,0.0,19599.254006,26.816282
BEL,1992,0.94444442,9.433962264150944,0.0,20269.681383,27.192472
BEL,1993,0.94444442,9.433962264150944,0.0,20471.087763,
BEL,1994,1.1111112,9.433962264150944,0.0,21518.928713,30.033016
BEL,1995,1.1111112,12.0,0.0,22447.494784,32.941891
BEL,1996,1.1111112,12.0,0.0,22744.79044,
BEL,1997,1.1111112,12.666667,0.0,23733.489191,
BEL,1998,1.2777778,12.666667,0.0,24370.934405,
BEL,1999,1.1111112,23.333334,0.0,25440.896241,
